"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
10.24018900,-4.12149104,-7.03190516,6.89787293
10.26034400,-3.74332868,-7.81216420,7.05105262
10.28042000,0.00000000,31.32524665,1.05789724
10.30049300,-3.29815021,-7.82652480,6.02187657
10.32056800,-3.59493586,-7.62068959,5.72509092
10.34063400,-3.79598420,-8.17596597,6.50534997
10.36069400,-4.04968806,-8.24776895,6.59151355
10.38075100,-4.18372029,-8.27649014,6.31387536
10.40080800,-4.02575373,-8.54455460,6.38089147
10.42087200,-3.79119733,-9.04238859,6.22771178
10.44093200,-3.89650837,-9.23865007,6.34738341
10.46099000,-3.93480329,-8.90356950,6.00272911
10.48106900,-4.07362239,-8.89399576,6.51971057
10.50112600,-4.20286775,-8.76475040,6.90744666
10.52118300,-4.12627791,-8.11852358,6.60108728
10.54124000,-3.70982062,-8.58763638,7.20423231
10.56130000,-3.20719976,-8.96579874,7.65898451
10.58136600,-2.97743023,-8.33871939,7.25210096
10.60156600,-3.78641047,-5.50489512,6.19420372
10.62163200,-3.40346124,-5.49532139,7.28082215
10.64169300,-2.93913531,-6.61066101,8.69294742
10.66204400,-2.95828277,-6.14633507,8.63071817
10.68213600,-2.98700396,-5.13151962,8.02278628
10.70219600,-3.37474005,-3.15454425,6.89787293
10.72225500,-3.53270661,-2.10622074,7.04626575
10.74231200,-2.83861113,-3.48962482,8.98015934
10.76237200,-2.57533354,-4.30339192,10.00454852
10.78244100,-2.78116875,-3.70024689,9.76520525
10.80250400,-3.18326544,-1.04832351,7.83609853
