"Time (s)","X (µT)","Y (µT)","Z (µT)"
9.63847800,5.93750000,67.41874695,67.27500153
9.65853400,4.93750000,67.06874847,67.30625153
9.67859000,3.87500000,67.39375305,67.12500000
9.69864500,2.66249990,67.06250000,67.09999847
9.71873000,2.04375005,67.20625305,66.83125305
9.73878500,1.38125002,66.57499695,65.71250153
9.75884000,0.69375002,66.75624847,65.64375305
9.77889400,-0.01250000,67.13124847,66.73124695
9.79894900,-0.04375000,66.60624695,66.48124695
9.81900300,-0.08125000,67.15625000,66.21875000
9.83905700,-0.08125000,67.15625000,66.21875000
9.85911500,0.80000001,68.18125153,65.42500305
9.87917000,0.61250001,68.49375153,66.01875305
9.89922600,0.66250002,68.32499695,65.73124695
9.91928100,1.06250000,68.46250153,65.99375153
9.93933700,0.62500000,68.84999847,66.12500000
9.95939900,0.67500001,68.67500305,66.11250305
9.97946300,0.50625002,69.25000000,65.40000153
9.99952100,0.44999999,68.93125153,65.54374695
10.01957800,0.63125002,69.26249695,65.78125000
10.03963400,0.54374999,69.35624695,65.93750000
10.05969000,0.87500000,69.49375153,65.16249847
10.07974500,0.33125001,70.00624847,64.88124847
10.09979900,-0.09375000,70.11875153,64.75000000
10.11985300,-0.61250001,70.29374695,64.66874695
10.13990700,-0.92500001,70.39375305,64.61875153
10.15996100,-1.62500000,70.41249847,63.91875076
10.18001400,-2.52500010,70.64375305,63.69374847
10.20007200,-3.68750000,70.96250153,63.07500076
10.22012700,-4.68750000,70.94999695,63.35625076
10.24018900,-6.21875000,70.87500000,62.25000000
10.26034400,-6.79374981,71.25624847,61.97499847
10.28042000,-7.35624981,71.36250305,61.32500076
10.30049300,-8.11874962,70.77500153,60.99375153
10.32056800,-8.73750019,70.82499695,61.12500000
10.34063400,-9.10000038,70.63124847,60.47499847
10.36069400,-9.78125000,70.59375000,60.63750076
10.38075100,-10.33125019,70.58125305,60.36249924
10.40080800,-9.93750000,70.05000305,60.36875153
10.42087200,-9.14375019,70.04374695,61.03749847
10.44093200,-8.35000038,69.84999847,61.29375076
10.46099000,-7.18750000,69.58750153,60.89374924
10.48106900,-6.33750010,69.43750000,61.90000153
10.50112600,-5.33750010,69.63749695,63.35625076
10.52118300,-3.88750005,69.19374847,63.94374847
10.54124000,-2.48749995,68.58750153,64.82499695
10.56130000,-0.61250001,68.42500305,64.95625305
10.58136600,3.23749995,67.55000305,65.84999847
10.60156600,5.03749990,66.31874847,66.46875000
10.62163200,6.60624981,66.37500000,67.30000305
10.64169300,8.61250019,66.08750153,67.11875153
10.66204400,10.66250038,65.59999847,67.23124695
10.68213600,12.77499962,65.45625305,67.01249695
10.70219600,14.74374962,64.09999847,67.33125305
10.72225500,16.07500076,63.91875076,67.50624847
10.74231200,17.12500000,63.26874924,67.25624847
10.76237200,18.88125038,62.96250153,67.06874847
10.78244100,20.34375000,62.28125000,66.93125153
10.80250400,22.61874962,61.98125076,66.40000153
10.82256400,23.84375000,60.76874924,66.61250305
10.84262100,25.06250000,60.31250000,65.96250153
10.86267800,26.24374962,60.10625076,65.67500305
10.88276000,27.40625000,59.46875000,65.11250305
10.90281800,28.85000038,59.11875153,65.01249695
10.92287900,30.29375076,58.81250000,64.69374847
10.94294000,31.39374924,58.54999924,63.93125153
10.96299700,32.45624924,58.23749924,63.30625153
10.98307400,33.49375153,57.93125153,62.95000076
11.00315600,34.16249847,57.64374924,62.17499924
11.02321600,35.43125153,57.47499847,61.57500076
11.04327300,36.73125076,57.45000076,61.44374847
11.06332900,37.65625000,56.53749847,60.16875076
11.08339300,38.94374847,56.70000076,59.34375000
11.10344900,39.59999847,56.56250000,58.38750076
11.12351000,41.06874847,55.95000076,57.81250000
11.14356800,42.74375153,56.14374924,56.04999924
11.16362500,44.26874924,55.78125000,54.78125000
11.18369200,45.59999847,55.25000000,53.18750000
11.20375400,46.47499847,55.66875076,52.51874924
11.22381100,47.55625153,55.63124847,51.87500000
11.24388500,48.53125000,56.03749847,50.81250000
11.26395900,49.56874847,56.20624924,49.46875000
11.28440700,51.46875000,56.68750000,46.42499924
11.30448400,52.18125153,57.04999924,45.11875153
11.32456300,52.91875076,57.09375000,43.85625076
11.34463100,53.88124847,57.98749924,42.77500153
11.36469200,54.20624924,57.31250000,41.45624924
11.38477200,55.14374924,57.59999847,40.28125000
11.40482900,55.62500000,57.93125153,39.26874924
11.42488500,55.64374924,58.29999924,38.23749924
11.44494100,56.46250153,58.38124847,36.92499924
